date,kp,sn,tag,PDF_score,eng_v15_3,source,engine_version
24.03.2025,4.3,78.0,Нова одежда,-2,0,NEW,v15.3
25.03.2025,4.0,79.0,Екадаші🥛 ромб,-3,-3,NEW,v15.3
26.03.2025,5.7,46.0,Нова одежда,-2,-2,NEW,v15.3
27.03.2025,4.7,82.0,💊 Трезубець ⚡,-2,-1,NEW,v15.3
28.03.2025,4.0,78.0,День порожні руки ⚡ Амавасья,-3,-3,NEW,v15.3
29.03.2025,3.3,91.0,Амавасья🌑,-2,-3,NEW,v15.3
30.03.2025,2.3,128.0,,2,0,NEW,v15.3
31.03.2025,2.0,141.0,,3,0,NEW,v15.3
01.04.2025,2.3,160.0,Наваратрі ❤ ⚡ Ганеша,-1,-1,NEW,v15.3
02.04.2025,3.7,150.0,Наваратрі ❤ ціль🎯 подорожі✈,3,3,NEW,v15.3
03.04.2025,4.7,164.0,Наваратрі подорожі✈ навчання📚,3,2,NEW,v15.3
04.04.2025,4.7,191.0,Наваратрі навчання📚,0,0,NEW,v15.3
05.04.2025,5.7,187.0,Наваратрі ⚡,-3,-3,NEW,v15.3
06.04.2025,5.0,180.0,Наваратрі ⚡,-1,-3,NEW,v15.3
21.04.2025,5.3,142.0,⚡,0,-3,NEW,v15.3
22.04.2025,3.7,185.0,День порожні руки ⚡,-3,-3,NEW,v15.3
23.04.2025,2.7,166.0,Подорожі✈ лікування💊,0,1,NEW,v15.3
24.04.2025,3.7,202.0,Екадаші🥛,-3,-3,NEW,v15.3
25.04.2025,2.0,203.0,Нова одежда Маха Шиваратрі,-1,3,NEW,v15.3
26.04.2025,2.0,173.0,Трезубець ⚡,-2,1,NEW,v15.3
27.04.2025,2.7,135.0,Амавасья🌑,-3,-3,NEW,v15.3
28.04.2025,2.3,123.0,Удача🟢,1,-1,NEW,v15.3
29.04.2025,2.0,111.0,⭐Акшая нова одежда ❤,3,3,NEW,v15.3
30.04.2025,3.3,88.0,Акшая ⭐ ❤ Ганеша подорожі✈ ⚡,3,3,NEW,v15.3
01.05.2025,4.7,62.0,Навчання📚 подорожі✈ ⚡,-2,-2,NEW,v15.3
02.05.2025,5.0,42.0,Навчання📚 ❤ нова одежда,3,3,NEW,v15.3
03.05.2025,5.3,57.0,Трикутник▲ подорожі✈ навчання📚,1,-1,NEW,v15.3
04.05.2025,4.7,75.0,,0,-1,NEW,v15.3
26.05.2025,3.0,108.0,Амавасья🌑 ⚡,-3,-3,NEW,v15.3
27.05.2025,4.3,102.0,Удача🟢 ціль🎯,3,0,NEW,v15.3
28.05.2025,4.3,107.0,Навчання📚 подорожі✈ ❤,3,3,NEW,v15.3
29.05.2025,6.3,98.0,Навчання📚 ⚡,-3,-3,NEW,v15.3
30.05.2025,4.7,115.0,⚡ Ганеша,-3,-3,NEW,v15.3
31.05.2025,4.0,114.0,Подорожі✈ навчання📚,2,0,NEW,v15.3
01.06.2025,7.7,124.0,,-2,-3,NEW,v15.3
02.06.2025,7.0,106.0,,-1,-2,NEW,v15.3
03.06.2025,7.0,93.0,День порожні руки ⚡,-3,-3,NEW,v15.3
